n,challenge,mode,lessons_db_used,outcome,steps,time_s,rag_queries,reflexion,unique_tools,tokens
1,Treasure Map,Curated only (BUILDONLY),No,success,4,28.0,0,No,3,n/a
2,Direct Login,Curated only (BUILDONLY),No,success,5,32.4,0,No,5,n/a
3,Door to Door,Curated only (BUILDONLY),No,success,7,38.8,0,No,5,n/a
4,Open Application,Curated only (BUILDONLY),No,success,12,48.4,0,No,6,n/a
5,Livestream,Curated only (BUILDONLY),No,partial,29,286.4,0,No,7,n/a
6,Dot-Matrix Destruction,Curated only (BUILDONLY),No,success,10,49.2,0,No,6,n/a
7,Super Quick Logic,Curated only (BUILDONLY),No,partial,31,341.7,0,No,12,n/a
8,Snowfall Wishes,Curated only (BUILDONLY),No,success,5,31.2,0,No,5,n/a
9,Cracking the Javashop,Curated only (BUILDONLY),No,success,4,27.7,0,No,4,n/a
10,Admin Portal,Curated only (BUILDONLY),No,success,5,27.6,0,No,5,n/a
11,Cookie Crackdown,Curated only (BUILDONLY),No,success,3,24.9,0,No,3,n/a
12,Great Paywall,Curated only (BUILDONLY),No,success,4,29.2,0,No,4,n/a
13,Microdosing,Curated only (BUILDONLY),No,partial,27,132.8,0,No,13,n/a
14,Treasure Map,Curated + Lessons (WRITE),Yes,success,4,37.8,0,No,3,n/a
15,Direct Login,Curated + Lessons (WRITE),Yes,success,5,41.9,0,No,5,n/a
16,Door to Door,Curated + Lessons (WRITE),Yes,success,7,44.0,0,Yes,5,n/a
17,Open Application,Curated + Lessons (WRITE),Yes,partial,27,149.6,0,Yes,8,n/a
18,Livestream,Curated + Lessons (WRITE),Yes,partial,25,283.8,0,Yes,8,n/a
19,Dot-Matrix Destruction,Curated + Lessons (WRITE),Yes,partial,20,130.9,0,No,7,n/a
20,Super Quick Logic,Curated + Lessons (WRITE),Yes,partial,28,182.5,0,Yes,10,n/a
21,Snowfall Wishes,Curated + Lessons (WRITE),Yes,success,5,40.1,0,No,5,n/a
22,Cracking the Javashop,Curated + Lessons (WRITE),Yes,success,4,37.3,0,No,4,n/a
23,Admin Portal,Curated + Lessons (WRITE),Yes,success,5,38.5,0,Yes,5,n/a
24,Cookie Crackdown,Curated + Lessons (WRITE),Yes,success,3,32.7,0,No,3,n/a
25,Great Paywall,Curated + Lessons (WRITE),Yes,success,3,37.1,0,No,3,n/a
26,Microdosing,Curated + Lessons (WRITE),Yes,partial,31,134.0,0,Yes,12,n/a
